time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),precipitation (mm)
2018-01-01T00:00,-12.8,51,16.8,0.0
2018-01-01T01:00,-13.1,54,16.3,0.0
2018-01-01T02:00,-13.2,55,16.3,0.0
2018-01-01T03:00,-13.4,56,15.3,0.0
2018-01-01T04:00,-13.6,57,15.0,0.0
2018-01-01T05:00,-13.8,57,15.5,0.0
2018-01-01T06:00,-13.9,57,16.1,0.0
2018-01-01T07:00,-14.1,58,15.6,0.0
2018-01-01T08:00,-14.0,58,16.0,0.0
2018-01-01T09:00,-13.6,54,16.6,0.0
2018-01-01T10:00,-12.2,46,18.4,0.0
2018-01-01T11:00,-11.0,42,21.2,0.0
2018-01-01T12:00,-9.8,38,21.4,0.0
2018-01-01T13:00,-8.6,34,20.9,0.0
2018-01-01T14:00,-7.7,30,20.4,0.0
2018-01-01T15:00,-7.0,28,21.6,0.0
2018-01-01T16:00,-6.5,24,19.7,0.0
2018-01-01T17:00,-7.1,29,17.1,0.0
2018-01-01T18:00,-8.4,35,8.4,0.0
2018-01-01T19:00,-9.6,39,7.4,0.0
2018-01-01T20:00,-10.0,45,8.0,0.0
2018-01-01T21:00,-9.7,47,11.8,0.0
2018-01-01T22:00,-10.1,50,13.8,0.0
2018-01-01T23:00,-10.2,51,16.3,0.0
2018-01-02T00:00,-10.1,50,17.1,0.0
2018-01-02T01:00,-9.9,48,18.7,0.0
2018-01-02T02:00,-10.1,48,19.8,0.0
2018-01-02T03:00,-10.3,49,19.5,0.0
2018-01-02T04:00,-10.6,51,19.1,0.0
2018-01-02T05:00,-10.6,52,19.6,0.0
2018-01-02T06:00,-10.9,55,19.9,0.0
2018-01-02T07:00,-11.2,58,16.2,0.0
2018-01-02T08:00,-11.4,63,15.3,0.0
2018-01-02T09:00,-10.9,63,16.2,0.0
2018-01-02T10:00,-9.4,56,16.5,0.0
2018-01-02T11:00,-7.7,49,16.7,0.0
2018-01-02T12:00,-6.0,44,18.2,0.0
2018-01-02T13:00,-4.6,40,19.5,0.0
2018-01-02T14:00,-3.7,37,19.8,0.0
2018-01-02T15:00,-3.0,35,18.8,0.0
2018-01-02T16:00,-2.9,34,19.3,0.0
2018-01-02T17:00,-3.7,38,17.7,0.0
2018-01-02T18:00,-5.1,44,15.3,0.0
2018-01-02T19:00,-5.7,48,16.4,0.0
2018-01-02T20:00,-6.9,53,18.4,0.0
2018-01-02T21:00,-7.2,52,19.2,0.0
2018-01-02T22:00,-7.5,50,16.9,0.0
2018-01-02T23:00,-7.8,50,14.1,0.0
2018-01-03T00:00,-8.0,50,11.5,0.0
2018-01-03T01:00,-8.2,50,9.6,0.0
2018-01-03T02:00,-8.6,53,9.3,0.0
2018-01-03T03:00,-8.9,57,12.0,0.0
2018-01-03T04:00,-9.4,57,12.7,0.0
2018-01-03T05:00,-9.9,55,10.1,0.0
2018-01-03T06:00,-10.6,55,6.1,0.0
2018-01-03T07:00,-11.1,60,6.7,0.0
2018-01-03T08:00,-12.2,70,9.0,0.0
2018-01-03T09:00,-10.2,65,8.3,0.0
2018-01-03T10:00,-8.5,52,7.4,0.0
2018-01-03T11:00,-7.0,40,3.8,0.0
2018-01-03T12:00,-5.5,36,5.0,0.0
2018-01-03T13:00,-4.2,34,7.5,0.0
2018-01-03T14:00,-3.2,32,9.7,0.0
2018-01-03T15:00,-2.5,32,10.9,0.0
2018-01-03T16:00,-2.2,35,9.5,0.0
2018-01-03T17:00,-2.8,46,8.7,0.0
2018-01-03T18:00,-5.3,63,9.4,0.0
2018-01-03T19:00,-6.1,73,10.7,0.0
2018-01-03T20:00,-6.2,68,7.6,0.0
2018-01-03T21:00,-4.1,57,8.7,0.0
2018-01-03T22:00,-4.3,61,7.6,0.0
2018-01-03T23:00,-4.8,62,9.7,0.0
2018-01-04T00:00,-4.4,64,14.1,0.0
2018-01-04T01:00,-4.9,63,14.4,0.0
2018-01-04T02:00,-4.7,59,20.6,0.1
2018-01-04T03:00,-4.8,59,23.8,0.1
2018-01-04T04:00,-4.7,59,26.1,0.1
2018-01-04T05:00,-5.0,59,30.2,0.6
2018-01-04T06:00,-5.2,62,33.0,1.2
2018-01-04T07:00,-4.9,63,34.7,1.1
2018-01-04T08:00,-5.1,62,38.2,1.2
2018-01-04T09:00,-5.1,65,39.3,1.8
2018-01-04T10:00,-5.8,73,42.2,1.8
2018-01-04T11:00,-6.0,77,51.0,3.0
2018-01-04T12:00,-5.4,79,52.4,2.6
2018-01-04T13:00,-5.0,79,50.2,1.9
2018-01-04T14:00,-4.5,78,42.1,1.3
2018-01-04T15:00,-4.3,76,40.1,1.2
2018-01-04T16:00,-4.5,73,41.9,0.8
2018-01-04T17:00,-4.2,72,40.8,0.6
2018-01-04T18:00,-4.2,70,39.6,0.4
2018-01-04T19:00,-4.4,68,37.0,0.2
2018-01-04T20:00,-4.4,66,37.6,0.1
2018-01-04T21:00,-5.1,66,34.5,0.0
2018-01-04T22:00,-6.2,65,34.2,0.0
2018-01-04T23:00,-7.1,65,34.3,0.0
2018-01-05T00:00,-8.0,63,34.5,0.0
2018-01-05T01:00,-9.2,63,34.6,0.0
2018-01-05T02:00,-10.5,63,33.0,0.0
2018-01-05T03:00,-11.5,63,30.4,0.0
2018-01-05T04:00,-12.2,63,27.9,0.0
2018-01-05T05:00,-12.9,63,27.1,0.0
2018-01-05T06:00,-13.4,62,27.2,0.0
2018-01-05T07:00,-13.9,61,27.5,0.0
2018-01-05T08:00,-13.5,61,30.5,0.0
2018-01-05T09:00,-13.9,60,29.3,0.0
2018-01-05T10:00,-13.7,60,28.6,0.0
2018-01-05T11:00,-13.1,56,31.0,0.0
2018-01-05T12:00,-12.4,55,29.9,0.0
2018-01-05T13:00,-11.9,52,28.8,0.0
2018-01-05T14:00,-11.6,51,29.7,0.0
2018-01-05T15:00,-11.4,51,28.0,0.0
2018-01-05T16:00,-11.0,49,27.1,0.0
2018-01-05T17:00,-11.2,50,21.1,0.0
2018-01-05T18:00,-11.9,51,17.6,0.0
2018-01-05T19:00,-12.1,53,20.0,0.0
2018-01-05T20:00,-11.4,55,20.0,0.0
2018-01-05T21:00,-12.2,57,17.9,0.0
2018-01-05T22:00,-12.6,57,21.1,0.0
2018-01-05T23:00,-13.1,58,23.3,0.0
2018-01-06T00:00,-13.9,58,23.7,0.0
2018-01-06T01:00,-14.6,59,21.8,0.0
2018-01-06T02:00,-15.1,59,20.6,0.0
2018-01-06T03:00,-15.3,60,20.2,0.0
2018-01-06T04:00,-15.4,60,20.2,0.0
2018-01-06T05:00,-15.4,60,19.8,0.0
2018-01-06T06:00,-15.5,60,19.2,0.0
2018-01-06T07:00,-15.6,61,17.8,0.0
2018-01-06T08:00,-14.9,60,18.4,0.0
2018-01-06T09:00,-15.2,63,16.9,0.0
2018-01-06T10:00,-14.6,62,18.1,0.0
2018-01-06T11:00,-13.9,56,23.7,0.0
2018-01-06T12:00,-13.6,55,25.7,0.0
2018-01-06T13:00,-13.4,53,26.9,0.0
2018-01-06T14:00,-13.0,51,27.4,0.0
2018-01-06T15:00,-12.7,49,27.6,0.0
2018-01-06T16:00,-12.9,51,25.5,0.0
2018-01-06T17:00,-13.2,53,24.7,0.0
2018-01-06T18:00,-13.9,55,22.4,0.0
2018-01-06T19:00,-14.6,56,21.6,0.0
2018-01-06T20:00,-14.2,58,17.6,0.0
2018-01-06T21:00,-14.4,58,17.6,0.0
2018-01-06T22:00,-14.8,59,18.2,0.0
2018-01-06T23:00,-15.4,60,20.5,0.0
2018-01-07T00:00,-15.9,61,20.3,0.0
2018-01-07T01:00,-16.3,63,18.2,0.0
2018-01-07T02:00,-16.7,64,16.7,0.0
2018-01-07T03:00,-17.2,66,15.3,0.0
2018-01-07T04:00,-17.9,69,13.9,0.0
2018-01-07T05:00,-18.1,69,13.8,0.0
2018-01-07T06:00,-19.0,70,9.8,0.0
2018-01-07T07:00,-20.5,72,9.8,0.0
2018-01-07T08:00,-19.2,72,8.3,0.0
2018-01-07T09:00,-18.2,70,9.8,0.0
2018-01-07T10:00,-17.1,69,9.2,0.0
2018-01-07T11:00,-15.7,66,6.9,0.0
2018-01-07T12:00,-14.4,62,5.8,0.0
2018-01-07T13:00,-13.4,60,4.7,0.0
2018-01-07T14:00,-12.4,59,4.7,0.0
2018-01-07T15:00,-11.6,59,6.0,0.0
2018-01-07T16:00,-11.6,65,7.1,0.0
2018-01-07T17:00,-12.1,64,8.4,0.0
2018-01-07T18:00,-12.3,65,9.7,0.0
2018-01-07T19:00,-11.4,68,14.5,0.0
2018-01-07T20:00,-10.8,71,16.1,0.0
2018-01-07T21:00,-10.3,70,17.2,0.0
2018-01-07T22:00,-10.2,69,18.8,0.0
2018-01-07T23:00,-9.8,68,21.0,0.0
2018-01-08T00:00,-9.9,69,21.3,0.0
2018-01-08T01:00,-10.2,72,17.9,0.0
2018-01-08T02:00,-10.2,75,19.1,0.0
2018-01-08T03:00,-9.9,77,17.8,0.0
2018-01-08T04:00,-9.4,78,16.8,0.0
2018-01-08T05:00,-9.6,78,15.8,0.0
2018-01-08T06:00,-9.6,77,16.3,0.0
2018-01-08T07:00,-9.6,77,14.5,0.0
2018-01-08T08:00,-9.9,78,9.9,0.0
2018-01-08T09:00,-8.9,77,12.7,0.0
2018-01-08T10:00,-7.8,75,12.7,0.0
2018-01-08T11:00,-6.8,70,14.1,0.0
2018-01-08T12:00,-5.8,67,14.3,0.0
2018-01-08T13:00,-4.6,64,15.5,0.0
2018-01-08T14:00,-3.5,64,16.9,0.0
2018-01-08T15:00,-2.5,65,18.3,0.0
2018-01-08T16:00,-1.8,65,17.1,0.0
2018-01-08T17:00,-1.5,68,15.8,0.0
2018-01-08T18:00,-2.0,76,14.5,0.4
2018-01-08T19:00,-1.8,82,18.4,0.5
2018-01-08T20:00,-1.9,82,14.6,0.1
2018-01-08T21:00,-1.8,81,14.7,0.0
2018-01-08T22:00,-1.9,83,13.2,0.0
2018-01-08T23:00,-1.8,83,12.4,0.0
2018-01-09T00:00,-1.8,85,11.4,0.0
2018-01-09T01:00,-2.0,86,11.3,0.0
2018-01-09T02:00,-2.0,88,12.6,0.0
2018-01-09T03:00,-2.2,88,14.3,0.0
2018-01-09T04:00,-1.5,86,15.8,0.0
2018-01-09T05:00,-1.4,87,16.1,0.0
2018-01-09T06:00,-1.5,89,14.8,0.0
2018-01-09T07:00,-1.5,90,15.5,0.0
2018-01-09T08:00,-1.0,88,16.4,0.0
2018-01-09T09:00,-1.1,89,18.8,0.0
2018-01-09T10:00,-0.2,86,20.6,0.0
2018-01-09T11:00,1.4,80,18.5,0.0
2018-01-09T12:00,2.7,74,14.9,0.0
2018-01-09T13:00,3.3,65,14.2,0.0
2018-01-09T14:00,3.8,62,13.7,0.0
2018-01-09T15:00,3.7,62,11.0,0.0
2018-01-09T16:00,3.2,62,10.7,0.0
2018-01-09T17:00,2.4,66,13.9,0.0
2018-01-09T18:00,1.4,69,15.3,0.0
2018-01-09T19:00,0.6,72,15.8,0.0
2018-01-09T20:00,0.1,73,12.8,0.0
2018-01-09T21:00,-1.5,79,10.6,0.0
2018-01-09T22:00,-4.2,83,12.0,0.0
2018-01-09T23:00,-4.7,82,10.6,0.0
2018-01-10T00:00,-4.2,80,10.5,0.0
2018-01-10T01:00,-5.3,80,9.6,0.0
2018-01-10T02:00,-7.2,84,12.0,0.0
2018-01-10T03:00,-8.8,86,14.0,0.0
2018-01-10T04:00,-9.6,88,13.9,0.0
2018-01-10T05:00,-9.2,88,10.9,0.0
2018-01-10T06:00,-10.1,90,11.5,0.0
2018-01-10T07:00,-10.9,91,11.7,0.0
2018-01-10T08:00,-9.6,91,11.9,0.0
2018-01-10T09:00,-10.2,90,11.4,0.0
2018-01-10T10:00,-7.2,85,7.4,0.0
2018-01-10T11:00,-4.2,75,2.7,0.0
2018-01-10T12:00,-2.7,68,1.0,0.0
2018-01-10T13:00,-1.7,77,2.3,0.0
2018-01-10T14:00,-0.8,74,2.9,0.0
2018-01-10T15:00,-0.6,81,5.2,0.0
2018-01-10T16:00,1.6,68,3.1,0.0
2018-01-10T17:00,1.7,71,7.4,0.0
2018-01-10T18:00,-2.5,88,13.2,0.0
2018-01-10T19:00,1.0,85,10.1,0.0
2018-01-10T20:00,2.0,87,9.0,0.0
2018-01-10T21:00,2.0,87,9.7,0.0
2018-01-10T22:00,2.2,86,11.3,0.0
2018-01-10T23:00,2.3,86,11.0,0.0
2018-01-11T00:00,2.6,87,12.5,0.0
2018-01-11T01:00,2.7,88,10.2,0.0
2018-01-11T02:00,2.2,90,8.3,0.0
2018-01-11T03:00,2.1,90,7.7,0.0
2018-01-11T04:00,2.0,91,6.8,0.0
2018-01-11T05:00,1.8,92,7.4,0.0
2018-01-11T06:00,0.6,93,10.7,0.0
2018-01-11T07:00,0.2,94,10.9,0.0
2018-01-11T08:00,1.2,94,10.9,0.0
2018-01-11T09:00,1.6,95,10.8,0.0
2018-01-11T10:00,3.1,93,9.2,0.0
2018-01-11T11:00,5.0,89,7.4,0.0
2018-01-11T12:00,4.4,92,9.2,0.0
2018-01-11T13:00,5.7,90,8.0,0.0
2018-01-11T14:00,6.2,90,9.1,0.0
2018-01-11T15:00,7.1,89,9.4,0.0
2018-01-11T16:00,11.4,82,11.7,0.0
2018-01-11T17:00,9.6,89,10.6,0.0
2018-01-11T18:00,7.8,93,12.5,0.0
2018-01-11T19:00,7.6,93,14.2,0.0
2018-01-11T20:00,5.1,97,10.8,0.0
2018-01-11T21:00,6.0,97,13.6,0.0
2018-01-11T22:00,6.2,97,12.6,0.0
2018-01-11T23:00,6.9,96,13.7,0.0
2018-01-12T00:00,7.4,95,14.1,0.0
2018-01-12T01:00,7.9,94,14.2,0.0
2018-01-12T02:00,8.4,97,13.3,0.0
2018-01-12T03:00,8.9,98,12.7,0.0
2018-01-12T04:00,10.1,97,17.7,0.0
2018-01-12T05:00,10.6,97,20.6,0.0
2018-01-12T06:00,10.7,96,25.6,0.0
2018-01-12T07:00,10.1,97,23.5,0.0
2018-01-12T08:00,10.5,99,22.7,0.0
2018-01-12T09:00,13.1,97,31.5,1.0
2018-01-12T10:00,13.4,96,35.3,1.5
2018-01-12T11:00,13.2,97,31.7,1.0
2018-01-12T12:00,13.5,97,30.2,0.5
2018-01-12T13:00,14.1,96,29.5,0.6
2018-01-12T14:00,14.1,96,27.7,1.9
2018-01-12T15:00,14.6,97,25.3,3.2
2018-01-12T16:00,14.5,97,23.8,5.2
2018-01-12T17:00,14.1,97,26.4,5.1
2018-01-12T18:00,13.3,99,22.0,3.9
2018-01-12T19:00,13.1,99,18.9,0.2
2018-01-12T20:00,10.9,100,10.8,0.2
2018-01-12T21:00,12.8,99,12.3,1.9
2018-01-12T22:00,12.1,100,14.2,1.4
2018-01-12T23:00,12.2,98,21.3,1.3
2018-01-13T00:00,12.9,98,29.0,0.4
2018-01-13T01:00,12.6,98,24.3,0.8
2018-01-13T02:00,12.9,97,25.2,2.8
2018-01-13T03:00,12.3,98,19.9,0.7
2018-01-13T04:00,13.3,96,23.8,1.1
2018-01-13T05:00,13.4,98,23.8,1.8
2018-01-13T06:00,13.9,95,22.4,0.3
2018-01-13T07:00,2.8,99,28.8,0.9
2018-01-13T08:00,5.2,92,27.3,0.0
2018-01-13T09:00,1.0,81,29.6,0.0
2018-01-13T10:00,-1.3,70,28.6,0.0
2018-01-13T11:00,-2.0,59,29.0,0.0
2018-01-13T12:00,-1.9,51,29.7,0.0
2018-01-13T13:00,-0.6,47,28.2,0.0
2018-01-13T14:00,0.6,45,26.9,0.0
2018-01-13T15:00,0.7,44,25.2,0.0
2018-01-13T16:00,0.2,43,25.0,0.0
2018-01-13T17:00,-1.3,44,25.7,0.0
2018-01-13T18:00,-3.2,43,27.7,0.0
2018-01-13T19:00,-4.4,44,27.8,0.0
2018-01-13T20:00,-4.6,49,24.3,0.0
2018-01-13T21:00,-5.4,48,24.0,0.0
2018-01-13T22:00,-6.4,48,22.4,0.0
2018-01-13T23:00,-7.2,46,23.7,0.0
2018-01-14T00:00,-7.8,45,23.8,0.0
2018-01-14T01:00,-8.3,45,22.6,0.0
2018-01-14T02:00,-8.6,46,20.0,0.0
2018-01-14T03:00,-8.6,47,20.3,0.0
2018-01-14T04:00,-8.8,48,19.8,0.0
2018-01-14T05:00,-8.9,48,18.2,0.0
2018-01-14T06:00,-9.1,48,18.0,0.0
2018-01-14T07:00,-9.2,47,16.2,0.0
2018-01-14T08:00,-9.6,49,15.5,0.0
2018-01-14T09:00,-9.5,47,17.2,0.0
2018-01-14T10:00,-8.8,44,18.6,0.0
2018-01-14T11:00,-7.6,40,18.5,0.0
2018-01-14T12:00,-6.3,35,18.3,0.0
2018-01-14T13:00,-5.2,31,18.1,0.0
2018-01-14T14:00,-4.2,28,18.1,0.0
2018-01-14T15:00,-3.6,26,18.4,0.0
2018-01-14T16:00,-3.5,25,17.3,0.0
2018-01-14T17:00,-4.2,28,16.2,0.0
2018-01-14T18:00,-5.8,32,14.8,0.0
2018-01-14T19:00,-6.7,31,16.8,0.0
2018-01-14T20:00,-7.4,38,15.8,0.0
2018-01-14T21:00,-7.9,39,19.7,0.0
2018-01-14T22:00,-8.4,40,16.8,0.0
2018-01-14T23:00,-8.8,43,16.2,0.0
2018-01-15T00:00,-9.0,44,16.3,0.0
2018-01-15T01:00,-9.1,44,18.4,0.0
2018-01-15T02:00,-9.0,45,16.7,0.0
2018-01-15T03:00,-8.9,44,17.0,0.0
2018-01-15T04:00,-8.9,44,17.0,0.0
2018-01-15T05:00,-8.8,44,17.4,0.0
2018-01-15T06:00,-8.4,42,17.7,0.0
2018-01-15T07:00,-7.9,45,17.8,0.0
2018-01-15T08:00,-7.4,55,16.6,0.0
2018-01-15T09:00,-6.8,61,17.4,0.0
2018-01-15T10:00,-5.8,64,20.0,0.0
2018-01-15T11:00,-4.1,60,20.2,0.0
2018-01-15T12:00,-3.1,59,19.9,0.0
2018-01-15T13:00,-2.3,58,18.7,0.0
2018-01-15T14:00,-2.0,57,16.1,0.0
2018-01-15T15:00,-1.6,57,16.1,0.0
2018-01-15T16:00,-1.8,57,15.5,0.0
2018-01-15T17:00,-2.2,59,14.7,0.0
2018-01-15T18:00,-2.8,64,12.5,0.0
2018-01-15T19:00,-3.0,64,10.4,0.0
2018-01-15T20:00,-3.8,72,8.0,0.0
2018-01-15T21:00,-4.0,72,7.4,0.0
2018-01-15T22:00,-4.1,71,11.3,0.0
2018-01-15T23:00,-4.2,71,7.4,0.0
2018-01-16T00:00,-4.4,73,7.4,0.0
2018-01-16T01:00,-4.4,75,6.2,0.0
2018-01-16T02:00,-4.4,75,2.2,0.0
2018-01-16T03:00,-4.1,75,5.1,0.0
2018-01-16T04:00,-4.2,78,6.6,0.0
