,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,temperature (°C),relative_humidity (%),wind_speed (km/h),precipitation (mm)
0,132,2018-01-01 00:01:45.814,2018-01-01 00:03:58.4750,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3211,Newark Ave,40.72152515,-74.046304543,29590,Subscriber,1964,Male,-12.8,51,16.8,0.0
1,560,2018-01-01 01:27:17.272,2018-01-01 01:36:37.8410,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,29613,Subscriber,1989,Female,-13.1,54,16.3,0.0
2,294,2018-01-01 01:29:03.020,2018-01-01 01:33:57.8990,3195,Sip Ave,40.73074262530658,-74.06378388404846,3225,Baldwin at Montgomery,40.7236589,-74.0641943,31940,Subscriber,1994,Male,-13.1,54,16.3,0.0
3,197,2018-01-01 01:59:31.746,2018-01-01 02:02:48.9960,3211,Newark Ave,40.72152515,-74.046304543,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,31949,Subscriber,1964,Male,-13.2,55,16.3,0.0
4,932,2018-01-01 02:06:17.541,2018-01-01 02:21:50.0270,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,31929,Subscriber,1992,Male,-13.2,55,16.3,0.0
5,142,2018-01-01 02:10:57.098,2018-01-01 02:13:19.7480,3185,City Hall,40.7177325,-74.043845,3213,Van Vorst Park,40.71848892,-74.047726625,31920,Subscriber,1976,Male,-13.2,55,16.3,0.0
6,360,2018-01-01 02:38:13.752,2018-01-01 02:44:14.1690,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,3280,Astor Place,40.71928220070702,-74.07126188278198,31678,Subscriber,1994,Male,-13.4,56,15.3,0.0
7,1795,2018-01-01 03:17:39.626,2018-01-01 03:47:34.7910,3195,Sip Ave,40.73074262530658,-74.06378388404846,3198,Heights Elevator,40.74871594538023,-74.04044330120087,29634,Subscriber,1990,Male,-13.4,56,15.3,0.0
8,300,2018-01-01 03:21:42.347,2018-01-01 03:26:42.4850,3185,City Hall,40.7177325,-74.043845,3267,Morris Canal,40.7124188237569,-74.03852552175522,29626,Subscriber,1988,Male,-13.4,56,15.3,0.0
9,252,2018-01-01 03:22:47.427,2018-01-01 03:26:59.4580,3481,York St,40.71649,-74.04105,3213,Van Vorst Park,40.71848892,-74.047726625,31760,Subscriber,1988,Male,-13.4,56,15.3,0.0
10,190,2018-01-01 03:29:46.969,2018-01-01 03:32:57.8120,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,29622,Subscriber,1989,Male,-13.4,56,15.3,0.0
11,172,2018-01-01 03:38:16.898,2018-01-01 03:41:09.6880,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,31907,Subscriber,1981,Male,-13.6,57,15.0,0.0
12,358,2018-01-01 03:49:33.126,2018-01-01 03:55:31.8250,3640,Journal Square,40.73367,-74.0625,3201,Dey St,40.737711,-74.066921,32795,Subscriber,1970,Male,-13.6,57,15.0,0.0
13,209,2018-01-01 03:57:53.651,2018-01-01 04:01:23.2640,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3267,Morris Canal,40.7124188237569,-74.03852552175522,31743,Subscriber,1993,Male,-13.6,57,15.0,0.0
14,388,2018-01-01 04:54:31.785,2018-01-01 05:01:00.2590,3214,Essex Light Rail,40.7127742,-74.0364857,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,31946,Subscriber,1982,Male,-13.8,57,15.5,0.0
15,583,2018-01-01 06:35:51.054,2018-01-01 06:45:34.5650,3195,Sip Ave,40.73074262530658,-74.06378388404846,3193,Lincoln Park,40.7246050998869,-74.07840594649315,31765,Subscriber,1977,Male,-14.1,58,15.6,0.0
16,124,2018-01-01 06:42:51.131,2018-01-01 06:44:56.0730,3211,Newark Ave,40.72152515,-74.046304543,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29590,Subscriber,1964,Male,-14.1,58,15.6,0.0
17,190,2018-01-01 08:32:42.028,2018-01-01 08:35:52.8300,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3211,Newark Ave,40.72152515,-74.046304543,31949,Subscriber,1977,Male,-13.6,54,16.6,0.0
18,156,2018-01-01 08:42:08.785,2018-01-01 08:44:45.6480,3211,Newark Ave,40.72152515,-74.046304543,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,31840,Subscriber,1977,Male,-13.6,54,16.6,0.0
19,382,2018-01-01 08:46:50.276,2018-01-01 08:53:12.5360,3267,Morris Canal,40.7124188237569,-74.03852552175522,3187,Warren St,40.7211236,-74.03805095,29626,Subscriber,1968,Male,-13.6,54,16.6,0.0
20,187,2018-01-01 08:48:20.288,2018-01-01 08:51:28.1390,3206,Hilltop,40.7311689,-74.0575736,3209,Brunswick St,40.7241765,-74.0506564,31711,Subscriber,1985,Female,-13.6,54,16.6,0.0
21,147,2018-01-01 08:55:20.432,2018-01-01 08:57:48.2120,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647166,-74.04311746358871,31832,Subscriber,1992,Male,-13.6,54,16.6,0.0
22,157,2018-01-01 09:13:00.448,2018-01-01 09:15:38.1640,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,29590,Subscriber,1985,Female,-13.6,54,16.6,0.0
23,125,2018-01-01 09:37:11.365,2018-01-01 09:39:16.8120,3214,Essex Light Rail,40.7127742,-74.0364857,3267,Morris Canal,40.7124188237569,-74.03852552175522,29615,Subscriber,1968,Male,-12.2,46,18.4,0.0
24,659,2018-01-01 10:00:15.789,2018-01-01 10:11:14.8530,3198,Heights Elevator,40.74871594538023,-74.04044330120087,3207,Oakland Ave,40.7376037,-74.0524783,31829,Subscriber,1984,Female,-12.2,46,18.4,0.0
25,252,2018-01-01 10:21:00.001,2018-01-01 10:25:12.3020,3211,Newark Ave,40.72152515,-74.046304543,3187,Warren St,40.7211236,-74.03805095,31949,Subscriber,1983,Male,-12.2,46,18.4,0.0
26,505,2018-01-01 10:23:52.873,2018-01-01 10:32:18.2160,3211,Newark Ave,40.72152515,-74.046304543,3206,Hilltop,40.7311689,-74.0575736,31872,Subscriber,1985,Female,-12.2,46,18.4,0.0
27,273,2018-01-01 10:33:41.824,2018-01-01 10:38:15.5680,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,31832,Subscriber,1981,Female,-11.0,42,21.2,0.0
28,192,2018-01-01 11:24:23.271,2018-01-01 11:27:35.5450,3267,Morris Canal,40.7124188237569,-74.03852552175522,3183,Exchange Place,40.7162469,-74.0334588,29615,Subscriber,1990,Male,-11.0,42,21.2,0.0
29,1207,2018-01-01 11:34:28.582,2018-01-01 11:54:35.6180,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3279,Dixon Mills,40.721630142638354,-74.04996782541275,31832,Subscriber,1988,Male,-9.8,38,21.4,0.0
30,183,2018-01-01 11:39:39.960,2018-01-01 11:42:43.3540,3194,McGinley Square,40.7253399253558,-74.06762212514877,3195,Sip Ave,40.73074262530658,-74.06378388404846,29681,Subscriber,1990,Male,-9.8,38,21.4,0.0
31,550,2018-01-01 12:06:18.039,2018-01-01 12:15:28.4430,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,31845,Subscriber,1969,Female,-9.8,38,21.4,0.0
32,510,2018-01-01 12:06:56.978,2018-01-01 12:15:27.8100,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,31708,Subscriber,1946,Male,-9.8,38,21.4,0.0
33,490,2018-01-01 12:19:39.221,2018-01-01 12:27:50.1050,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3275,Columbus Drive,40.71835519823214,-74.03891444206238,31832,Subscriber,1965,Male,-9.8,38,21.4,0.0
34,201,2018-01-01 12:33:44.851,2018-01-01 12:37:06.6620,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,31833,Subscriber,1988,Male,-8.6,34,20.9,0.0
35,520,2018-01-01 12:38:18.100,2018-01-01 12:46:58.9000,3267,Morris Canal,40.7124188237569,-74.03852552175522,3186,Grove St PATH,40.71958611647166,-74.04311746358871,31743,Subscriber,1957,Male,-8.6,34,20.9,0.0
36,174,2018-01-01 13:00:20.829,2018-01-01 13:03:15.0860,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3481,York St,40.71649,-74.04105,31743,Subscriber,1987,Male,-8.6,34,20.9,0.0
37,192,2018-01-01 13:14:36.140,2018-01-01 13:17:49.0760,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29582,Subscriber,1987,Male,-8.6,34,20.9,0.0
38,318,2018-01-01 13:22:39.228,2018-01-01 13:27:58.0740,3185,City Hall,40.7177325,-74.043845,3267,Morris Canal,40.7124188237569,-74.03852552175522,31694,Subscriber,1955,Male,-8.6,34,20.9,0.0
39,394,2018-01-01 13:34:56.545,2018-01-01 13:41:30.6700,3640,Journal Square,40.73367,-74.0625,3281,Leonard Gordon Park,40.74590996631558,-74.0572714805603,29597,Subscriber,1978,Male,-7.7,30,20.4,0.0
40,467,2018-01-01 13:43:45.112,2018-01-01 13:51:32.7200,3202,Newport PATH,40.7272235,-74.0337589,3183,Exchange Place,40.7162469,-74.0334588,31762,Subscriber,1969,Female,-7.7,30,20.4,0.0
41,456,2018-01-01 13:43:57.455,2018-01-01 13:51:33.8600,3202,Newport PATH,40.7272235,-74.0337589,3183,Exchange Place,40.7162469,-74.0334588,26190,Subscriber,1946,Male,-7.7,30,20.4,0.0
42,956,2018-01-01 13:51:30.050,2018-01-01 14:07:26.4390,3189,West Side Light Rail,40.714402,-74.0887723,3195,Sip Ave,40.73074262530658,-74.06378388404846,26289,Subscriber,1962,Male,-7.7,30,20.4,0.0
43,353,2018-01-01 13:52:01.732,2018-01-01 13:57:55.0520,3214,Essex Light Rail,40.7127742,-74.0364857,3185,City Hall,40.7177325,-74.043845,31954,Subscriber,1988,Male,-7.7,30,20.4,0.0
44,383,2018-01-01 13:56:18.130,2018-01-01 14:02:41.7320,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074262530658,-74.06378388404846,31940,Subscriber,1988,Male,-7.7,30,20.4,0.0
45,448,2018-01-01 13:59:29.677,2018-01-01 14:06:57.9560,3267,Morris Canal,40.7124188237569,-74.03852552175522,3186,Grove St PATH,40.71958611647166,-74.04311746358871,31694,Subscriber,1983,Male,-7.7,30,20.4,0.0
46,429,2018-01-01 14:02:42.579,2018-01-01 14:09:52.5380,3280,Astor Place,40.71928220070702,-74.07126188278198,3195,Sip Ave,40.73074262530658,-74.06378388404846,31709,Subscriber,1979,Male,-7.7,30,20.4,0.0
47,204,2018-01-01 14:09:55.503,2018-01-01 14:13:20.1320,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958611647166,-74.04311746358871,31711,Subscriber,1989,Male,-7.7,30,20.4,0.0
48,101,2018-01-01 14:11:00.153,2018-01-01 14:12:41.8380,3211,Newark Ave,40.72152515,-74.046304543,3213,Van Vorst Park,40.71848892,-74.047726625,31925,Subscriber,1989,Male,-7.7,30,20.4,0.0
49,188,2018-01-01 14:20:16.304,2018-01-01 14:23:25.1830,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,31694,Subscriber,1983,Male,-7.7,30,20.4,0.0
